"","x"
"1","Aaron Sackett"
"2","AaronSackett"
"3","Adam Hahn"
"4","Additional French data"
"5","Alexandra Mislin"
"6","AlexandraMislin"
"7","Ann Laure"
"8","AnnLaure"
"9","Dan Molden"
"10","Daniel Storage"
"11","Deanna Kennedy"
"12","EliAwtrey"
"13","Erik Cheries"
"14","Felix Cheung"
"15","Fiery Cushman"
"16","French"
"17","french translation"
"18","French translation"
"19","Jay van Bavel"
"20","JenJordan"
"21","Jesse Graham"
"22","Matt Motyl"
"23","Mturk"
"24","MTurk"
"25","MTURK"
"26","Nicole Legate"
"27","SapnaCheryan"
"28","SunnySun"
"29","Tatiana Sokolova"
"30","Tori Brescoll"
"31","Tori Brescolli"
"32","ToriBrescoll"
"33","UCI Business"
"34","UCI Psych Students"
"35","UCIBusiness"
"36","Wendy Bedwell"
"37","Yoel Inbar"
