"paper","nstudies","nonreplication","nonrep0","nonrep25","nonrep33","nonrep67","mdh0scale","mdh25scale","mdh33scale","mdh67scale","mdh0ratio","mdh25ratio","mdh33ratio","mdh67ratio","mdh0ratioub","mdh25ratioub","mdh33ratioub","mdh67ratioub"
"alogna",2,0,0,0,0,0,0.303098823310702,0.327059240941355,0.334005728080592,0.357881023599958,1.28263724277196,1.38403164499945,1.41342741438549,1.51446160145633,0.670207334840845,0.723188232181551,0.738548194919916,0.791340871591474
"cheung",4,2,1,1,1,1,0.616007158541939,0.664703450467185,0.678821241350534,0.727344534155129,1.77882784075837,1.91944685567917,1.96021443301179,2.10033388287401,0.601646939174082,0.649208034170605,0.662996714310251,0.710388843102444
"eerland",3,3,3,3,2,2,0.850805950800424,0.918063440226324,0.937562402745105,1.00458095228323,1.17620979318082,1.26919094552593,1.29614758663767,1.3887984128541,0.628398572059259,0.678074423851039,0.692476203941918,0.741975576615109
"hagger",2,1,1,1,0,0,0.837821276382654,0.904052307775991,0.923253684600228,0.989249422714799,2.06056449820277,2.22345521942878,2.27067970096912,2.43299173436449,0.660633296177297,0.712857351369014,0.727997894131674,0.780036417422136
"manylabs",15,3,7,6,6,6,0.617235808437144,0.666029226983633,0.68017517634217,0.72879525071463,1.24511804617383,1.3435464995077,1.37208239549075,1.47016117053905,0.227046897708605,0.244995296291682,0.250198808260846,0.268083443114711
"ppir",11,2,3,2,2,1,0.596937825868621,0.644126658379145,0.657807413998807,0.704828602809861,2.76695344104394,2.98568527011482,3.0490989326396,3.26705369198728,0.211274413220713,0.227975973194274,0.232818007809443,0.249460233589892
"rand",1,1,0,0,0,0,0.483168073711529,0.521363236284162,0.532436591084641,0.570496060994098,1.77693399064482,1.91740329386712,1.95812746751604,2.09809773754761,0.800561335273705,0.863846912309574,0.882194357406545,0.945255105225564
"rpe",18,7,4,4,4,3,0.380027074762892,0.410068786316948,0.418778332459581,0.448713317413394,1.02762463402461,1.1088599061706,1.13241123911952,1.21335791371339,0.260805233302246,0.281422279062849,0.287399472174954,0.307943273533447
"rpp",73,46,22,16,15,11,0.616599123575118,0.665342211226137,0.679473568897522,0.728043491180747,3.47867015260558,3.75366425764793,3.83338920416134,4.10740636134019,0.284387287268182,0.306868529845653,0.31338618178502,0.33578755718897
"wagenmakers",1,1,0,0,0,0,0.732620591428424,0.79053535052812,0.807325714346462,0.86503472467144,1.56132854213739,1.68475391053587,1.72053678992687,1.84352367565337,0.752274707289583,0.811743153794102,0.828983955069018,0.888241133147442
