"","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67"
"1","Allowedforbidden",36,1146.71217905432,49.8018495682026,0,0.746,61.8272453724219,0,1.136,65.6943219057711,0,1.26033333333333,80.7195008867783,0,1.73866666666667
"2","Anchoring1",37,63.1957380231615,50.9984601657114,0.00337830930914373,0.733,63.3178033961056,0.0509804727696443,1.122,67.2811265588938,0.0904243343349322,1.24533333333333,82.6857099582531,0.378912056165361,1.72066666666667
"3","Anchoring2",37,179.461878268208,50.9984601657114,0,0.733,63.3178033961056,9.99200722162641e-16,1.122,67.2811265588938,1.50990331349021e-14,1.24533333333333,82.6857099582531,5.67218494396116e-11,1.72066666666667
"4","Anchoring3",37,367.12861734544,50.9984601657114,0,0.733,63.3178033961056,0,1.122,67.2811265588938,0,1.24533333333333,82.6857099582531,0,1.72066666666667
"5","Anchoring4",37,158.913446732024,50.9984601657114,0,0.733,63.3178033961056,8.22675261247241e-13,1.122,67.2811265588938,8.96571705766291e-12,1.24533333333333,82.6857099582531,1.17144097755428e-08,1.72066666666667
"6","Flagpriming",37,34.384873079436,50.9984601657114,0.545500918051872,0.733,63.3178033961056,0.84966461688194,1.122,67.2811265588938,0.903631480341567,1.24533333333333,82.6857099582531,0.987853095580556,1.72066666666667
"7","Gainloss",37,50.7723071041609,50.9984601657114,0.0522247165017471,0.733,63.3178033961056,0.271661584709569,1.122,67.2811265588938,0.374034736909178,1.24533333333333,82.6857099582531,0.751901204445364,1.72066666666667
"8","Gamblersfallacy",37,51.4100713948735,50.9984601657114,0.0461604103541644,0.733,63.3178033961056,0.253273674033832,1.122,67.2811265588938,0.353085600815214,1.24533333333333,82.6857099582531,0.734438592468449,1.72066666666667
"9","IAT",36,49.0975098838114,49.8018495682026,0.0572967543629849,0.746,61.8272453724219,0.281795694995375,1.136,65.6943219057711,0.383943632403536,1.26033333333333,80.7195008867783,0.755516912117306,1.73866666666667
"10","Imaginedcontact",37,49.6120581230921,50.9984601657114,0.0650223940475119,0.733,63.3178033961056,0.307143693589641,1.122,67.2811265588938,0.413525632074477,1.24533333333333,82.6857099582531,0.782354397140151,1.72066666666667
"11","Mathartgender",37,51.3321769860457,50.9984601657114,0.0468667711446967,0.733,63.3178033961056,0.255476156664147,1.122,67.2811265588938,0.355613167027739,1.24533333333333,82.6857099582531,0.736597021125009,1.72066666666667
"12","Moneypriming",37,33.4213961686937,50.9984601657114,0.591855203091669,0.733,63.3178033961056,0.874193049047053,1.122,67.2811265588938,0.921110667056449,1.24533333333333,82.6857099582531,0.990829852649952,1.72066666666667
"13","Quote Attribution",36,68.4864967330168,49.8018495682026,0.000606685051848022,0.746,61.8272453724219,0.0158381207994274,1.136,65.6943219057711,0.0321459290363502,1.26033333333333,80.7195008867783,0.205776093617115,1.73866666666667
"14","Reciprocity",37,50.5397959664689,50.9984601657114,0.0546002773028029,0.733,63.3178033961056,0.278564756015229,1.122,67.2811265588938,0.381811865918427,1.24533333333333,82.6857099582531,0.758144618110844,1.72066666666667
"15","Scales",37,111.253116848697,50.9984601657114,1.3008303323403e-09,0.733,63.3178033961056,1.16428979612948e-06,1.122,67.2811265588938,5.44652098877219e-06,1.24533333333333,82.6857099582531,0.000482567019559288,1.72066666666667
"16","Sunkcosts",37,36.2374920881202,50.9984601657114,0.457571297662908,0.733,63.3178033961056,0.795715228417971,1.122,67.2811265588938,0.863570868814311,1.24533333333333,82.6857099582531,0.979987465726362,1.72066666666667
