"experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated","es","paper","vbar","v0"
"Abeler et al.",2,0.884311304346445,3.84145882069418,0.347023560657117,7.849,4.75884383138652,0.404711780690497,9.139,5.04323657468101,0.422833403337793,9.53133333333333,6.08289572202274,0.490174043711446,10.9426666666667,0,"z","rpe",0.00586080586080586,0.00854700854700855
"Ambrus and Greiner",2,0.6430529245169,3.84145882069418,0.422607446340839,7.849,4.75884383138652,0.477836227574733,9.139,5.04323657468101,0.495070435174116,9.53133333333333,6.08289572202274,0.558608623578791,10.9426666666667,1,"z","rpe",0.00579839429081177,0.0087719298245614
"Bartling et al.",2,1.75911372062283,3.84145882069418,0.184735100605079,7.849,4.75884383138652,0.238213823677703,9.139,5.04323657468101,0.255415818190103,9.53133333333333,6.08289572202274,0.321153125723888,10.9426666666667,1,"z","rpe",0.00374797806446522,0.00469483568075117
"Charness and Dufwenberg",2,0.0530616723711632,3.84145882069418,0.81781888327446,7.849,4.75884383138652,0.838872547433891,9.139,5.04323657468101,0.845335224071126,9.53133333333333,6.08289572202274,0.868695987094333,10.9426666666667,1,"z","rpe",0.00506036290031085,0.00628930817610063
"Chen and Chen",2,53.5904909914899,3.84145882069418,2.46913600676635e-13,7.849,4.75884383138652,4.53714843473563e-12,9.139,5.04323657468101,7.74802444425404e-12,9.53133333333333,6.08289572202274,3.90915078085641e-11,10.9426666666667,0,"z","rpe",0.0102766798418972,0.0144927536231884
"de Clippel et al.",2,1.88059270715722,3.84145882069418,0.170266797997368,7.849,4.75884383138652,0.222430843458621,9.139,5.04323657468101,0.239264446902986,9.53133333333333,6.08289572202274,0.303838972201591,10.9426666666667,1,"z","rpe",0.00649378030782206,0.00645161290322581
"Duffy and Puzzello",2,25.2543339443712,3.84145882069418,5.02465367757665e-07,7.849,4.75884383138652,3.03095007081478e-06,9.139,5.04323657468101,4.3438487198344e-06,9.53133333333333,6.08289572202274,1.2834991097499e-05,10.9426666666667,0,"z","rpe",0.015180265654649,0.0196078431372549
"Dulleck et al.",2,0.0316107843190164,3.84145882069418,0.858884587566487,7.849,4.75884383138652,0.875302685860339,9.139,5.04323657468101,0.880339379695766,9.53133333333333,6.08289572202274,0.898532368738813,10.9426666666667,1,"z","rpe",0.00703030303030303,0.00606060606060606
"Ericson and Fuster",2,0.657672369123218,3.84145882069418,0.417382889132134,7.849,4.75884383138652,0.472845654226406,9.139,5.04323657468101,0.490159866292235,9.53133333333333,6.08289572202274,0.554023787151253,10.9426666666667,0,"z","rpe",0.00651765789380469,0.00917431192660551
"Fehr et al.",2,0.974749432927925,3.84145882069418,0.323498533563732,7.849,4.75884383138652,0.381493591138673,9.139,5.04323657468101,0.399756786206896,9.53133333333333,6.08289572202274,0.467823603039118,10.9426666666667,1,"z","rpe",0.0138224348750664,0.0175438596491228
"Friedman and Oprea",2,2.02583337602968,3.84145882069418,0.154644067937564,7.849,4.75884383138652,0.205140903316866,9.139,5.04323657468101,0.221499536695979,9.53133333333333,6.08289572202274,0.284536293804881,10.9426666666667,1,"z","rpe",0.0201801801801802,0.0133333333333333
"Fudenberg et al.",2,0.0682141299058246,3.84145882069418,0.79395497392284,7.849,4.75884383138652,0.817653333833738,9.139,5.04323657468101,0.824930931115386,9.53133333333333,6.08289572202274,0.851250919990532,10.9426666666667,1,"z","rpe",0.00813223140495868,0.00826446280991736
"Huck et al.",2,42.8749467865879,3.84145882069418,5.83532111519958e-11,7.849,4.75884383138652,7.34654781453514e-10,9.139,5.04323657468101,1.18282328376296e-09,9.53133333333333,6.08289572202274,4.98034857798757e-09,10.9426666666667,0,"z","rpe",0.00745821764930046,0.00854700854700855
"Ifcher and Zarghamee",2,2.96630777885417,3.84145882069418,0.0850156876482033,7.849,4.75884383138652,0.123929233846023,9.139,5.04323657468101,0.136849661860011,9.53133333333333,6.08289572202274,0.188082454160122,10.9426666666667,0,"z","rpe",0.0129971590909091,0.0181818181818182
"Kessler and Roth",2,1.28686372647221,3.84145882069418,0.256626731356601,7.849,4.75884383138652,0.3139972792834,9.139,5.04323657468101,0.332218006002528,9.53133333333333,6.08289572202274,0.400813703358601,10.9426666666667,1,"z","rpe",0.0128654970760234,0.00350877192982456
"Kirchler et al",2,3.12227761401493,3.84145882069418,0.0772287678734567,7.849,4.75884383138652,0.114273432225193,9.139,5.04323657468101,0.126622892144656,9.53133333333333,6.08289572202274,0.175819344367051,10.9426666666667,1,"z","rpe",0.00657765173894206,0.00854700854700855
"Kogan et al.",2,0.0249499652388833,3.84145882069418,0.874491801268087,7.849,4.75884383138652,0.889124605506343,9.139,5.04323657468101,0.893612771007049,9.53133333333333,6.08289572202274,0.909820760677088,10.9426666666667,1,"z","rpe",0.0098121670871881,0.00813008130081301
"Kuziemko et al.",2,0.853040285017404,3.84145882069418,0.355693676316602,7.849,4.75884383138652,0.413209008424038,9.139,5.04323657468101,0.431260825067148,9.53133333333333,6.08289572202274,0.498273625628311,10.9426666666667,0,"z","rpe",0.0163666121112929,0.0256410256410256
